,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-07-15,14.2200,14.9500,13.9100,14.8800,14.8800,4564812,0.0000,1.0000
2019-07-12,15.1500,15.1600,14.1000,14.2400,14.2400,8861229,0.0000,1.0000
2019-07-11,15.4600,15.8500,15.0250,15.1500,15.1500,3925424,0.0000,1.0000
2019-07-10,15.5600,15.7400,15.2800,15.2900,15.2900,2005253,0.0000,1.0000
2019-07-09,14.9800,15.6700,14.8800,15.5300,15.5300,2886273,0.0000,1.0000
2019-07-08,15.1700,15.2000,14.9200,15.1000,15.1000,2566721,0.0000,1.0000
2019-07-05,15.1500,15.3500,14.9635,15.2900,15.2900,2010719,0.0000,1.0000
2019-07-03,15.4800,15.5400,14.8300,15.2400,15.2400,3951416,0.0000,1.0000
2019-07-02,16.0300,16.0300,15.4000,15.5100,15.5100,3419685,0.0000,1.0000
2019-07-01,16.2500,16.3400,15.6000,16.0200,16.0200,3332788,0.0000,1.0000
2019-06-28,16.1000,16.3514,15.8200,15.9800,15.9800,3131240,0.0000,1.0000
2019-06-27,15.9000,16.4500,15.8300,15.9700,15.9700,4453524,0.0000,1.0000
2019-06-26,15.8200,16.0100,15.6450,15.8700,15.8700,2033977,0.0000,1.0000
2019-06-25,16.0600,16.1200,15.6100,15.7900,15.7900,3017876,0.0000,1.0000
2019-06-24,15.9300,16.1200,15.3700,16.0900,16.0900,3989708,0.0000,1.0000
2019-06-21,15.9100,16.0750,15.2500,15.9400,15.9400,6639255,0.0000,1.0000
2019-06-20,16.1700,16.9000,16.1000,16.4300,16.4300,7136110,0.0000,1.0000
2019-06-19,15.7100,16.1700,15.6200,15.8500,15.8500,3791691,0.0000,1.0000
2019-06-18,15.9800,16.1000,15.5300,15.7100,15.7100,3576926,0.0000,1.0000
2019-06-17,15.4400,15.9700,15.0200,15.8500,15.8500,4348719,0.0000,1.0000
2019-06-14,16.1600,16.2000,15.3600,15.4400,15.4400,5706018,0.0000,1.0000
2019-06-13,17.1800,17.4600,16.1700,16.3600,16.3600,5658373,0.0000,1.0000
2019-06-12,16.8400,17.3300,16.6900,17.1000,17.1000,3462231,0.0000,1.0000
2019-06-11,17.7300,17.8600,16.5800,16.9700,16.9700,5717279,0.0000,1.0000
2019-06-10,16.3100,17.5500,16.2500,17.3900,17.3900,9728882,0.0000,1.0000
2019-06-07,15.8200,16.2700,15.7500,15.9400,15.9400,4449693,0.0000,1.0000
2019-06-06,16.0000,16.2200,15.3100,15.7700,15.7700,5726306,0.0000,1.0000
2019-06-05,15.9700,16.7000,15.2300,15.9900,15.9900,17770190,0.0000,1.0000
2019-06-04,13.7400,14.4500,13.6492,14.4200,14.4200,4066310,0.0000,1.0000
2019-06-03,13.9400,14.3500,13.5100,13.5800,13.5800,4273861,0.0000,1.0000
2019-05-31,14.7100,14.8500,13.9000,14.0800,14.0800,5719338,0.0000,1.0000
2019-05-30,15.3000,15.6600,14.8200,14.9000,14.9000,3324634,0.0000,1.0000
2019-05-29,15.6000,15.7000,14.9000,15.2400,15.2400,3866682,0.0000,1.0000
2019-05-28,15.7700,16.1700,15.5065,15.6500,15.6500,4206091,0.0000,1.0000
2019-05-24,15.4900,16.0300,15.3300,15.3800,15.3800,3621656,0.0000,1.0000
2019-05-23,15.8800,16.1100,15.1700,15.3700,15.3700,4260822,0.0000,1.0000
2019-05-22,15.6600,16.5500,15.4000,16.1300,16.1300,5779030,0.0000,1.0000
2019-05-21,14.8500,15.6700,14.8500,15.6000,15.6000,4667136,0.0000,1.0000
2019-05-20,14.8800,14.9800,14.4493,14.7500,14.7500,1859244,0.0000,1.0000
2019-05-17,14.9900,15.3500,14.7937,14.9300,14.9300,3197089,0.0000,1.0000
2019-05-16,15.2500,15.4300,15.0700,15.1800,15.1800,3233719,0.0000,1.0000
2019-05-15,15.2300,15.3300,14.7200,15.1500,15.1500,4125753,0.0000,1.0000
2019-05-14,14.5700,15.6000,14.5700,15.2400,15.2400,6442360,0.0000,1.0000
2019-05-13,15.1700,15.3500,14.0500,14.2500,14.2500,6082264,0.0000,1.0000
2019-05-10,14.1900,15.4000,14.1500,15.4000,15.4000,10430853,0.0000,1.0000
2019-05-09,15.7600,15.9000,13.9000,14.0900,14.0900,10025910,0.0000,1.0000
2019-05-08,15.3000,15.8300,15.0700,15.4600,15.4600,4855282,0.0000,1.0000
2019-05-07,16.0800,16.3700,15.2600,15.4400,15.4400,4613874,0.0000,1.0000
2019-05-06,16.0700,16.3800,15.8200,16.3400,16.3400,3875372,0.0000,1.0000
2019-05-03,16.7300,16.9300,16.4400,16.5700,16.5700,3386070,0.0000,1.0000
2019-05-02,16.9500,17.0440,16.1800,16.6800,16.6800,4430125,0.0000,1.0000
2019-05-01,17.3400,17.3700,16.8100,17.0600,17.0600,3982203,0.0000,1.0000
2019-04-30,17.0200,17.6700,16.8400,17.1600,17.1600,5408641,0.0000,1.0000
2019-04-29,17.1700,17.4500,16.6600,17.0100,17.0100,5500233,0.0000,1.0000
2019-04-26,16.4100,17.4000,16.3505,17.1600,17.1600,5950888,0.0000,1.0000
2019-04-25,16.6000,16.7900,16.2800,16.5200,16.5200,3729502,0.0000,1.0000
2019-04-24,16.2400,17.1700,16.1400,16.5900,16.5900,5852921,0.0000,1.0000
2019-04-23,16.8500,16.9000,16.0500,16.2800,16.2800,6468841,0.0000,1.0000
2019-04-22,15.7000,17.0000,15.5500,16.8600,16.8600,7373338,0.0000,1.0000
2019-04-18,16.6000,17.1200,15.6507,15.7500,15.7500,8986088,0.0000,1.0000
2019-04-17,15.5600,16.1100,15.5300,15.9200,15.9200,6146824,0.0000,1.0000
2019-04-16,15.7200,16.3900,15.7000,15.7900,15.7900,7022895,0.0000,1.0000
2019-04-15,16.7400,17.1200,15.4700,15.7800,15.7800,9608360,0.0000,1.0000
2019-04-12,17.0000,17.6500,16.8300,17.0400,17.0400,6490843,0.0000,1.0000
2019-04-11,17.9700,18.0400,16.6000,16.8500,16.8500,8458473,0.0000,1.0000
2019-04-10,17.4800,18.1385,17.4700,18.0200,18.0200,3455185,0.0000,1.0000
2019-04-09,17.4200,17.9313,17.3100,17.7000,17.7000,4211010,0.0000,1.0000
2019-04-08,18.3500,18.4200,17.4800,17.5600,17.5600,6756083,0.0000,1.0000
2019-04-05,18.3800,18.5300,18.1500,18.4000,18.4000,3131585,0.0000,1.0000
2019-04-04,18.1000,18.5700,18.1000,18.2700,18.2700,3243256,0.0000,1.0000
2019-04-03,18.0700,18.6200,17.8800,18.1600,18.1600,4637142,0.0000,1.0000
2019-04-02,18.5000,18.7600,18.1100,18.2600,18.2600,4585313,0.0000,1.0000
2019-04-01,18.6000,18.6800,18.0700,18.6100,18.6100,5302188,0.0000,1.0000
2019-03-29,19.0000,19.2400,18.2100,18.4300,18.4300,6708243,0.0000,1.0000
2019-03-28,17.7500,19.2800,17.2400,18.8400,18.8400,13586874,0.0000,1.0000
2019-03-27,19.5700,19.9200,17.7100,18.2400,18.2400,18418039,0.0000,1.0000
2019-03-26,19.6500,20.7400,19.3000,20.2400,20.2400,15741928,0.0000,1.0000
2019-03-25,19.3300,21.1000,19.3000,20.5300,20.5300,16209762,0.0000,1.0000
2019-03-22,20.4900,20.5900,19.2200,19.2300,19.2300,10049131,0.0000,1.0000
2019-03-21,21.2900,21.5100,20.5200,20.5400,20.5400,7140830,0.0000,1.0000
2019-03-20,21.3800,21.8800,21.0300,21.2600,21.2600,5634856,0.0000,1.0000
2019-03-19,21.8900,22.0400,21.2400,21.4800,21.4800,6276058,0.0000,1.0000
2019-03-18,21.0000,21.7500,20.9900,21.6900,21.6900,6403077,0.0000,1.0000
2019-03-15,20.8200,21.0900,20.4700,21.0000,21.0000,5623586,0.0000,1.0000
2019-03-14,21.1400,21.4100,20.3600,20.8200,20.8200,7201759,0.0000,1.0000
2019-03-13,21.6000,22.3400,21.0100,21.1400,21.1400,9828912,0.0000,1.0000
2019-03-12,20.9500,22.0400,20.5265,21.3700,21.3700,9742462,0.0000,1.0000
2019-03-11,21.3900,21.8700,20.5676,20.9200,20.9200,11959629,0.0000,1.0000
2019-03-08,21.5400,22.1700,21.0910,21.7400,21.7400,8609903,0.0000,1.0000
2019-03-07,22.3500,23.1499,22.0500,22.3100,22.3100,9212390,0.0000,1.0000
2019-03-06,23.2700,24.3700,22.0100,22.7900,22.7900,15848223,0.0000,1.0000
2019-03-05,21.1400,23.9400,21.0200,23.7000,23.7000,20790448,0.0000,1.0000
2019-03-04,21.6900,22.0000,20.6700,21.4600,21.4600,9932478,0.0000,1.0000
2019-03-01,22.0200,22.2700,21.5100,21.7100,21.7100,7982446,0.0000,1.0000
2019-02-28,21.4400,22.2300,21.1603,21.6400,21.6400,10281525,0.0000,1.0000
2019-02-27,21.5900,21.7700,20.7000,21.3300,21.3300,10527537,0.0000,1.0000
2019-02-26,19.8200,21.9100,19.5000,21.6400,21.6400,17948105,0.0000,1.0000
2019-02-25,21.2000,21.4000,20.1600,20.2500,20.2500,15437637,0.0000,1.0000
2019-02-22,22.8300,22.9600,21.1400,21.9200,21.9200,18080750,0.0000,1.0000
2019-02-21,22.3400,22.9569,22.2300,22.4700,22.4700,12479212,0.0000,1.0000
2019-02-20,21.6000,22.4900,21.4600,22.2300,22.2300,16279068,0.0000,1.0000
2019-02-19,21.1000,21.9800,21.0400,21.6100,21.6100,12273068,0.0000,1.0000
2019-02-15,21.4600,21.8400,20.8500,21.2900,21.2900,16070346,0.0000,1.0000
2019-02-14,20.3000,20.9600,20.1900,20.8200,20.8200,13966324,0.0000,1.0000
2019-02-13,20.0500,20.7800,19.6800,20.4500,20.4500,17285464,0.0000,1.0000
2019-02-12,19.0000,20.5900,18.8600,19.6700,19.6700,24418623,0.0000,1.0000
2019-02-11,20.2300,20.4400,19.2600,19.4400,19.4400,23051380,0.0000,1.0000
2019-02-08,21.6200,22.0500,19.4300,19.5500,19.5500,30898104,0.0000,1.0000
2019-02-07,19.0000,21.4400,18.7200,21.4200,21.4200,36940165,0.0000,1.0000
2019-02-06,20.8000,21.6000,19.3100,19.6500,19.6500,32503892,0.0000,1.0000
2019-02-05,22.3500,23.9600,20.5600,21.8300,21.8300,55485179,0.0000,1.0000
2019-02-04,21.8200,25.1000,21.3000,23.2500,23.2500,67620336,0.0000,1.0000
2019-02-01,20.2500,21.7900,20.1000,20.8100,20.8100,48676298,0.0000,1.0000
2019-01-31,18.6500,20.3500,18.3800,19.6800,19.6800,29701695,0.0000,1.0000
2019-01-30,18.1400,19.2000,17.6703,18.4300,18.4300,22137670,0.0000,1.0000
2019-01-29,18.4800,19.4800,17.3300,18.1500,18.1500,42470992,0.0000,1.0000
2019-01-28,16.0100,18.5500,15.7300,18.4800,18.4800,35951792,0.0000,1.0000
2019-01-25,16.2000,16.3000,15.4600,16.0200,16.0200,14670737,0.0000,1.0000
2019-01-24,14.4300,15.7500,14.4200,15.7000,15.7000,12830490,0.0000,1.0000
2019-01-23,15.3100,15.4800,14.0900,14.7200,14.7200,12729117,0.0000,1.0000
2019-01-22,15.2000,16.0700,14.8100,15.0700,15.0700,21302821,0.0000,1.0000
2019-01-18,13.9700,15.1900,13.9400,14.9000,14.9000,23020837,0.0000,1.0000
2019-01-17,13.3400,13.9100,13.1300,13.6600,13.6600,5803461,0.0000,1.0000
2019-01-16,13.1600,13.4900,12.9207,13.4200,13.4200,5305480,0.0000,1.0000
2019-01-15,13.8500,13.9500,12.7500,13.0500,13.0500,9462156,0.0000,1.0000
2019-01-14,13.6500,14.1500,13.5000,13.7600,13.7600,9570581,0.0000,1.0000
2019-01-11,13.0400,13.9900,12.8900,13.6700,13.6700,10385762,0.0000,1.0000
2019-01-10,12.9300,13.5400,12.5900,13.0600,13.0600,9848046,0.0000,1.0000
2019-01-09,12.3100,13.0500,12.2100,12.9800,12.9800,7436759,0.0000,1.0000
2019-01-08,12.5700,12.7200,12.1600,12.3600,12.3600,6035089,0.0000,1.0000
2019-01-07,11.8800,12.4200,11.7144,12.4000,12.4000,5250381,0.0000,1.0000
2019-01-04,11.8800,12.0999,11.6500,11.7800,11.7800,6284279,0.0000,1.0000
2019-01-03,11.3100,12.1900,11.0800,11.5400,11.5400,9190758,0.0000,1.0000
2019-01-02,10.2500,11.4400,10.2500,11.3100,11.3100,6345323,0.0000,1.0000
2018-12-31,10.6100,10.7227,10.2500,10.3900,10.3900,2837654,0.0000,1.0000
2018-12-28,10.4000,10.6700,10.0400,10.4200,10.4200,4141667,0.0000,1.0000
2018-12-27,10.1500,10.3200,9.8505,10.3200,10.3200,3541206,0.0000,1.0000
2018-12-26,10.2500,10.4000,9.8600,10.1800,10.1800,3875254,0.0000,1.0000
2018-12-24,9.6000,10.3850,9.5600,10.1000,10.1000,3454599,0.0000,1.0000
2018-12-21,11.3000,11.3900,10.0000,10.2100,10.2100,6911638,0.0000,1.0000
2018-12-20,11.2000,11.5868,10.6800,11.1300,11.1300,6238578,0.0000,1.0000
2018-12-19,11.5400,11.8100,11.0600,11.1700,11.1700,6066998,0.0000,1.0000
2018-12-18,11.2800,11.7200,11.0900,11.5400,11.5400,6173884,0.0000,1.0000
2018-12-17,11.1800,11.7300,10.9200,11.1300,11.1300,7125514,0.0000,1.0000
2018-12-14,11.1900,11.7362,11.0700,11.2800,11.2800,6335403,0.0000,1.0000
2018-12-13,11.8500,11.9900,11.0600,11.3800,11.3800,9850920,0.0000,1.0000
2018-12-12,12.8000,12.8100,11.8100,11.9200,11.9200,11365879,0.0000,1.0000
2018-12-11,12.9500,13.0600,12.5500,12.8200,12.8200,11225515,0.0000,1.0000
2018-12-10,12.9300,13.1500,12.2800,12.8800,12.8800,20064237,0.0000,1.0000
2018-12-07,13.5700,13.9500,12.3600,12.7200,12.7200,55482148,0.0000,1.0000
2018-12-06,9.9200,10.5650,9.7600,10.4500,10.4500,12016330,0.0000,1.0000
2018-12-04,10.9700,11.2000,10.3800,10.7400,10.7400,26371035,0.0000,1.0000
2018-12-03,9.2500,11.8900,8.5100,10.1700,10.1700,45161948,0.0000,1.0000
2018-11-30,8.8800,9.2200,8.6300,9.1500,9.1500,5552175,0.0000,1.0000
2018-11-29,8.6800,9.0000,8.4000,8.9100,8.9100,3900589,0.0000,1.0000
2018-11-28,8.3200,8.7000,8.3000,8.7000,8.7000,4339840,0.0000,1.0000
2018-11-27,8.2000,8.5585,8.0900,8.2900,8.2900,4093249,0.0000,1.0000
2018-11-26,8.8500,9.0400,8.2100,8.3300,8.3300,4924046,0.0000,1.0000
2018-11-23,8.5400,8.8600,8.4100,8.8100,8.8100,2680766,0.0000,1.0000
2018-11-21,8.3700,8.7500,8.3600,8.5300,8.5300,4122329,0.0000,1.0000
2018-11-20,7.8500,8.6738,7.7000,8.2000,8.2000,6192093,0.0000,1.0000
2018-11-19,8.6600,8.6600,8.0200,8.2400,8.2400,4327405,0.0000,1.0000
2018-11-16,8.5400,9.0800,8.4400,8.5600,8.5600,5829771,0.0000,1.0000
2018-11-15,7.9100,8.9099,7.8700,8.5900,8.5900,8854556,0.0000,1.0000
2018-11-14,8.0000,8.2300,7.5200,8.1200,8.1200,6759517,0.0000,1.0000
2018-11-13,7.7500,8.5500,7.5500,8.3100,8.3100,8481215,0.0000,1.0000
2018-11-12,8.7500,8.8400,7.9900,8.4500,8.4500,8335840,0.0000,1.0000
2018-11-09,8.8000,8.9300,8.4100,8.5500,8.5500,5777294,0.0000,1.0000
2018-11-08,9.5000,9.5800,8.8200,8.9400,8.9400,9214991,0.0000,1.0000
2018-11-07,9.5500,9.9500,8.7200,9.8100,9.8100,22898709,0.0000,1.0000
2018-11-06,8.2500,9.5800,8.1500,9.0500,9.0500,17357042,0.0000,1.0000
2018-11-05,8.0500,8.3200,7.7600,8.2500,8.2500,4725063,0.0000,1.0000
2018-11-02,7.7700,8.0750,7.5800,8.0600,8.0600,6923884,0.0000,1.0000
2018-11-01,7.6300,7.7700,7.2200,7.7000,7.7000,6241457,0.0000,1.0000
2018-10-31,7.2800,7.6285,7.1000,7.4200,7.4200,8298680,0.0000,1.0000
2018-10-30,6.5000,7.2629,6.5000,7.0500,7.0500,7104572,0.0000,1.0000
2018-10-29,7.9400,8.0399,6.6000,6.8000,6.8000,11982715,0.0000,1.0000
2018-10-26,7.8800,8.2200,7.7000,7.7800,7.7800,8332196,0.0000,1.0000
2018-10-25,7.7000,8.4800,7.6500,8.1100,8.1100,9625627,0.0000,1.0000
2018-10-24,8.6100,8.7400,7.6200,7.6300,7.6300,7567359,0.0000,1.0000
2018-10-23,7.6500,8.8800,7.5100,8.3400,8.3400,14152439,0.0000,1.0000
2018-10-22,9.6900,9.8800,8.2301,8.5200,8.5200,14205845,0.0000,1.0000
2018-10-19,10.9300,11.3200,9.6100,9.7100,9.7100,17006664,0.0000,1.0000
2018-10-18,10.7800,11.1600,10.4500,10.7200,10.7200,10604257,0.0000,1.0000
2018-10-17,10.7500,11.2000,10.1200,10.6500,10.6500,18999506,0.0000,1.0000
2018-10-16,12.9800,13.0000,10.9500,11.5200,11.5200,53570830,0.0000,1.0000
2018-10-15,10.4100,11.7500,10.0500,11.7400,11.7400,26412418,0.0000,1.0000
2018-10-12,9.3900,9.9000,9.3100,9.8600,9.8600,8508794,0.0000,1.0000
2018-10-11,9.4100,9.5100,8.9400,9.0500,9.0500,7953097,0.0000,1.0000
2018-10-10,9.4000,10.0800,8.6800,9.6000,9.6000,16072755,0.0000,1.0000
2018-10-09,9.5600,9.6000,9.3200,9.3400,9.3400,5809533,0.0000,1.0000
2018-10-08,9.3700,9.9300,9.3300,9.7000,9.7000,6234636,0.0000,1.0000
2018-10-05,10.2200,10.4200,9.4000,9.7700,9.7700,9418198,0.0000,1.0000
2018-10-04,10.6200,10.6699,9.9400,10.2200,10.2200,8406168,0.0000,1.0000
2018-10-03,10.7000,10.8400,10.2100,10.6900,10.6900,11372008,0.0000,1.0000
2018-10-02,11.1500,11.3200,10.6500,10.7200,10.7200,9977591,0.0000,1.0000
2018-10-01,11.9000,11.9900,11.0450,11.3200,11.3200,13351553,0.0000,1.0000
2018-09-28,10.8800,11.4000,10.8600,11.1200,11.1200,10970450,0.0000,1.0000
2018-09-27,11.0100,11.4700,10.8500,10.9400,10.9400,12005422,0.0000,1.0000
2018-09-26,11.5000,11.6000,10.8200,11.1300,11.1300,14686521,0.0000,1.0000
2018-09-25,12.2017,12.4000,11.3900,11.4700,11.4700,16341531,0.0000,1.0000
2018-09-24,11.8000,12.5500,11.6500,11.8600,11.8600,13661100,0.0000,1.0000
2018-09-21,13.2700,13.4800,12.2800,12.5100,12.5100,24915844,0.0000,1.0000
2018-09-20,13.3200,14.0000,12.7100,13.7500,13.7500,54639318,0.0000,1.0000
2018-09-19,12.9700,15.3000,11.6000,12.6900,12.6900,129502113,0.0000,1.0000
2018-09-18,10.5800,12.1416,10.4400,11.5600,11.5600,39679956,0.0000,1.0000
2018-09-17,10.6400,10.7000,10.0600,10.1800,10.1800,11247948,0.0000,1.0000
2018-09-14,9.3600,10.8200,9.2600,10.3800,10.3800,20704789,0.0000,1.0000
2018-09-13,11.3200,11.3700,10.0000,10.1100,10.1100,20753882,0.0000,1.0000
2018-09-12,11.8000,12.0300,10.7700,11.2700,11.2700,21845825,0.0000,1.0000
2018-09-11,11.9600,12.1600,11.6100,11.9900,11.9900,17828970,0.0000,1.0000
2018-09-10,12.3500,12.4600,11.8600,12.1000,12.1000,21122891,0.0000,1.0000
2018-09-07,11.4500,12.4400,11.2001,11.9900,11.9900,24086862,0.0000,1.0000
2018-09-06,11.9000,12.0000,10.9101,11.6200,11.6200,30731988,0.0000,1.0000
2018-09-05,13.1700,13.3900,11.3000,12.4500,12.4500,83070050,0.0000,1.0000
2018-09-04,10.9000,11.4100,10.6100,11.1500,11.1500,45906604,0.0000,1.0000
2018-08-31,8.8500,10.2900,8.5400,9.8800,9.8800,43594194,0.0000,1.0000
2018-08-30,12.0900,12.1500,8.8200,9.1200,9.1200,81548157,0.0000,1.0000
2018-08-29,12.0100,12.7900,11.5500,12.7400,12.7400,41523658,0.0000,1.0000
2018-08-28,11.6900,12.1600,10.3600,11.0800,11.0800,43406625,0.0000,1.0000
2018-08-27,11.8200,12.8900,11.5500,12.0400,12.0400,67986579,0.0000,1.0000
2018-08-24,8.9100,10.1000,8.8600,9.9400,9.9400,36067526,0.0000,1.0000
2018-08-23,8.1600,8.7200,8.0100,8.5400,8.5400,13458831,0.0000,1.0000
2018-08-22,8.0900,8.4490,7.6200,8.1600,8.1600,14323962,0.0000,1.0000
2018-08-21,8.2200,8.7800,7.7200,8.2900,8.2900,31970733,0.0000,1.0000
2018-08-20,6.7100,7.6700,6.6260,7.3200,7.3200,13292937,0.0000,1.0000
2018-08-17,6.3400,6.6900,6.2210,6.5400,6.5400,3043091,0.0000,1.0000
2018-08-16,6.3400,6.6400,6.1700,6.3200,6.3200,3221264,0.0000,1.0000
2018-08-15,6.0800,6.5500,5.8800,6.3800,6.3800,7531029,0.0000,1.0000
2018-08-14,5.9200,5.9500,5.6100,5.6500,5.6500,2619867,0.0000,1.0000
2018-08-13,6.0200,6.0200,5.6300,5.8300,5.8300,2175401,0.0000,1.0000
2018-08-10,6.0800,6.1000,5.9100,5.9600,5.9600,1248866,0.0000,1.0000
2018-08-09,5.9700,6.1000,5.8800,6.1000,6.1000,2104542,0.0000,1.0000
2018-08-08,5.6500,5.8500,5.6400,5.7700,5.7700,1289265,0.0000,1.0000
2018-08-07,5.8800,5.9500,5.6700,5.7200,5.7200,1875624,0.0000,1.0000
2018-08-06,5.8800,6.0400,5.8700,5.8800,5.8800,1307521,0.0000,1.0000
2018-08-03,5.9300,6.0800,5.8100,5.8600,5.8600,1432317,0.0000,1.0000
